step,Tx,Ty,Tz,Axy,Axz,Ayz,Ayx,Azx,Azy,Px,Py,Pz
66,0.3304340728445731,-0.002831735687161102,-0.002831763707999918,1.2830938682193975e-06,3.5282347942172514e-06,0.00038433053291586747,6.425429660285168e-05,0.0004719951058015526,1.3310040572167944e-05,-9.558241251403615e-06,-1.533060281930137e-05,0.0004413343561414807
67,0.3304341047336659,-0.002831743622675381,-0.002831766715386614,1.3730541923662345e-06,3.5690823803927047e-06,0.00038875697722600213,6.629592034130081e-05,0.0004970126166291625,1.3461103201742237e-05,-1.0096865312020365e-05,-1.5506996372920233e-05,0.0004464171569654516
68,0.33043413973405444,-0.002831749228506841,-0.0028317666553450316,1.4689827309576219e-06,3.6104046705251913e-06,0.0003932344298363134,6.837290888047163e-05,0.000523360152501112,1.3613758213551562e-05,-1.0665837876616057e-05,-1.568540363616592e-05,0.0004515585120582862
69,0.33043417822972426,-0.0028317529593827207,-0.0028317638992254694,1.5712653803137364e-06,3.6522072445602483e-06,0.00039776348235727633,7.048323496067084e-05,0.0005511086345727211,1.3768014178769249e-05,-1.1266869179152568e-05,-1.5865846084167566e-05,0.00045675909860908416
70,0.3304342206368899,-0.002831755182651084,-0.002831758721438983,1.6803143620337067e-06,3.6944955617991695e-06,0.0004023447336395634,7.262455427689375e-05,0.0005803327765667611,1.3923879108042097e-05,-1.1901765744098203e-05,-1.6048345299828182e-05,0.0004620196018803216
71,0.3304342674093961,-0.0028317561958269366,-0.0028317513160085288,1.796569734897485e-06,3.7372749811774703e-06,0.0004069787899235306,7.47941773970439e-05,0.0006111112880813101,1.408136040170926e-05,-1.2572435812982717e-05,-1.6232922960963597e-05,0.000467340715349844
72,0.33043431904433906,-0.0028317562407344852,-0.0028317418095978445,1.920501050556184e-06,3.7805507732487366e-06,0.0004116662649955697,7.698903958404643e-05,0.0006435270888077739,1.4240464796206537e-05,-1.3280895074793131e-05,-1.6419600826674457e-05,0.00047272314085760806
73,0.33043437608800574,-0.002831755514921669,-0.002831730271682528,2.052609153024099e-06,3.824328125722701e-06,0.0004164077803525319,7.92056683786333e-05,0.0006776675342427853,1.44011983064099e-05,-1.4029272716920978e-05,-1.660840072257442e-05,0.000478167588758141
74,0.33043443914222514,-0.00283175418089073,-0.002831716722394269,2.193428124334875e-06,3.868612143469501e-06,0.0004212039653756566,8.14401487899717e-05,0.0007136246535086515,1.4563566163789136e-05,-1.4819817814850942e-05,-1.679934452481936e-05,0.00048367477807956407
75,0.33043450887122405,-0.002831752373582274,-0.0028317011384614505,2.3435273802698815e-06,3.913407843993388e-06,0.0004260554575151725,8.368808593173836e-05,0.0007514953999286976,1.472757274996134e-05,-1.565490607950536e-05,-1.6992454142748153e-05,0.0004892454366903139
76,0.3304345860090806,-0.0028317502064656207,-0.0028316834575822986,2.503513921182444e-06,3.958720148922798e-06,0.00043096290248714487,8.594456493063107e-05,0.0007913819150383785,1.489322152544277e-05,-1.6537046982076616e-05,-1.7187751499934893e-05,0.0004948803014744747
77,0.33043467136787197,-0.002831747776519449,-0.0028316635814966294,2.6740347447293267e-06,4.004553871954678e-06,0.0004359269544842725,8.820410792347837e-05,0.0008333918067477698,1.5060514953231557e-05,-1.7468891277408373e-05,-1.7385258513517017e-05,0.000500580118516916
78,0.33043476584661685,-0.0028317451683325693,-0.0028316413779656247,2.8557794280055016e-06,4.050913703416767e-06,0.00044094827640178593,9.046062794706275e-05,0.0008776384424086338,1.5229454416868774e-05,-1.8453238948101175e-05,-1.758499707154406e-05,0.0005063456432997014
79,0.3304348704411198,-0.0028317424575103984,-0.0028316166818225666,3.0494828881184584e-06,4.097804191805618e-06,0.0004460275400812598,9.270737951286955e-05,0.0009242412575779776,1.5400040132599668e-05,-1.9493047592320382e-05,-1.7786989008157985e-05,0.0005121776409105623
80,0.3304349862548324,-0.0028317397135381416,-0.002831589295220259,3.25592833081978e-06,4.145229722017806e-06,0.00045116542657344194,9.493690564546236e-05,0.0009733260813105257,1.5572271055134012e-05,-2.0591441280061974e-05,-1.799125607652589e-05,0.0005180768862656345
81,0.3304351145108558,-0.00283173700222342,-0.0028315589871700394,3.4759503982539935e-06,4.193194490509611e-06,0.00045636262642330486,9.714098114961442e-05,0.0010250254788551935,1.5746144776722042e-05,-2.1751719903402603e-05,-1.8197819918973745e-05,0.0005240441643473047
82,0.3304352565652202,-0.0028317343878191594,-0.002831525492441789,3.7104385275701093e-06,4.241702477050122e-06,0.0004616198399791324,9.9310551856473e-05,0.0010794791126748668,1.5921657418867736e-05,-2.297736904779726e-05,-1.8406702034460868e-05,0.0005300802704597507
