step,Ez_V_per_m,Pz_mode_A,P_C_per_m2
321,592500000.0,-0.2843347573584415,0.5118025632451947
322,585000000.0,-0.2838058259908089,0.510850486783456
323,577500000.0,-0.28327752531059125,0.5098995455590642
324,570000000.0,-0.2827498356479715,0.5089497041663488
325,562500000.0,-0.28222273745007675,0.5080009274101381
326,555000000.0,-0.2816962112760933,0.5070531802969679
327,547500000.0,-0.281170237792432,0.5061064280263776
328,540000000.0,-0.28064479776793794,0.5051606359822883
329,532500000.0,-0.28011987206914496,0.5042157697244609
330,525000000.0,-0.27959544165556793,0.5032717949800223
331,517500000.0,-0.27907148757503375,0.5023286776350607
332,510000000.0,-0.2785479909590443,0.5013863837262797
333,502500000.0,-0.27802493301817116,0.5004448794327081
334,495000000.0,-0.2775022950374774,0.4995041310674594
335,487500000.0,-0.2769800583719646,0.4985641050695363
336,480000000.0,-0.27645820444204094,0.49762476799567373
337,472500000.0,-0.2759367147290094,0.4966860865122169
338,465000000.0,-0.2754155707705709,0.4957480273870276
339,457500000.0,-0.2748947541563412,0.4948105574814141
340,450000000.0,-0.2743742465233783,0.4938736437420809
341,442500000.0,-0.2738540295517167,0.4929372531930901
342,435000000.0,-0.27333408495990774,0.4920013529278339
343,427500000.0,-0.2728143945005601,0.4910659101010082
344,420000000.0,-0.27229493995588083,0.4901308919205855
345,412500000.0,-0.2717757031332117,0.4891962656397811
346,405000000.0,-0.2712566658605594,0.4882619985490069
347,397500000.0,-0.2707378099821168,0.4873280579678102
348,390000000.0,-0.2702191173537703,0.48639441123678656
349,382500000.0,-0.2697005698385942,0.4854610257094696
350,375000000.0,-0.2691821493023252,0.48452786874418535
351,367500000.0,-0.26866383760881696,0.48359490769587055
352,360000000.0,-0.2681456166154704,0.4826621099078467
353,352500000.0,-0.267627468168637,0.48172944270354656
354,345000000.0,-0.26710937409899266,0.4807968733781868
355,337500000.0,-0.26659131621687826,0.4798643691903809
356,330000000.0,-0.26607327630760386,0.47893189735368696
357,322500000.0,-0.2655552361267148,0.4779994250280866
358,315000000.0,-0.2650371773952145,0.47706691931138606
359,307500000.0,-0.2645190817947421,0.47613434723053577
360,300000000.0,-0.2640009309627012,0.4752016757328622
361,292500000.0,-0.2634827064873367,0.47426887167720605
362,285000000.0,-0.2629643899027552,0.47333590182495944
363,277500000.0,-0.2624459626838879,0.47240273283099826
364,270000000.0,-0.26192740624138955,0.4714693312345012
365,262500000.0,-0.2614087019164714,0.4705356634496486
366,255000000.0,-0.26088983097566537,0.4696016957561977
367,247500000.0,-0.26037077460551306,0.4686673942899235
368,240000000.0,-0.25985151390717837,0.46773272503292107
369,232500000.0,-0.2593320298909785,0.46679765380376126
370,225000000.0,-0.2588123034708285,0.46586214624749134
371,217500000.0,-0.25829231545859815,0.4649261678254767
372,210000000.0,-0.2577720465583729,0.4639896838050712
373,202500000.0,-0.25725147736061754,0.4630526592491116
374,195000000.0,-0.25673058833623746,0.4621150590052274
375,187500000.0,-0.2562093598305322,0.46117684769495804
376,180000000.0,-0.2556877720570365,0.4602379897026658
377,172500000.0,-0.2551658050912457,0.4592984491642423
378,165000000.0,-0.25464343886421814,0.4583581899555927
379,157500000.0,-0.25412065315605104,0.45741717568089185
380,150000000.0,-0.2535974275892244,0.45647536966060387
381,142500000.0,-0.2530737416218067,0.45553273491925206
382,135000000.0,-0.25254957454051763,0.45458923417293173
383,127500000.0,-0.25202490545364165,0.45364482981655496
384,120000000.0,-0.2514997132837866,0.45269948391081594
385,112500000.0,-0.2509739767604818,0.4517531581688672
386,105000000.0,-0.25044767441260735,0.45080581394269326
387,97500000.0,-0.24992078456065128,0.4498574122091723
388,90000000.0,-0.24939328530878516,0.4489079135558133
389,82500000.0,-0.24886515453675234,0.4479572781661542
390,75000000.0,-0.24833636989156202,0.44700546580481165
391,67500000.0,-0.24779840911279893,0.4460371364030381
392,60000000.0,-0.2472748793194916,0.4450947827750849
393,52500000.0,-0.24673692026006658,0.4441264564681198
394,45000000.0,-0.24621225835445376,0.44318206503801677
395,37500000.0,-0.24567279700852285,0.4422110346153411
396,30000000.0,-0.24513813839889811,0.4412486491180166
397,22500000.0,-0.24460378420094614,0.4402868115617031
398,15000000.0,-0.24406881509291695,0.4393238671672505
399,7500000.0,-0.2435330239708971,0.43835944314761477
400,0.0,-0.24299634838269887,0.437393427088858
401,-7500000.0,-0.24245875513361223,0.43642575924050203
402,-15000000.0,-0.24192021673884218,0.43545639012991594
403,-22500000.0,-0.2413807065955472,0.43448527187198493
404,-30000000.0,-0.24084019798209585,0.4335123563677725
405,-37500000.0,-0.24029866384209875,0.43253759491577776
406,-45000000.0,-0.23975607672966615,0.4315609381133991
407,-52500000.0,-0.2392124087876681,0.4305823358178026
408,-60000000.0,-0.23866763173253602,0.42960173711856486
409,-67500000.0,-0.23812171684011732,0.4286190903122112
410,-75000000.0,-0.2375746349314323,0.42763434287657814
411,-82500000.0,-0.2370263563580833,0.42664744144454997
412,-90000000.0,-0.23647685098725182,0.4256583317770533
413,-97500000.0,-0.23592608818625954,0.42466695873526716
414,-105000000.0,-0.23537403680667532,0.42367326625201557
415,-112500000.0,-0.23481208947918258,0.4226617610625287
416,-120000000.0,-0.23426405996349733,0.4216753079342952
417,-127500000.0,-0.2337007518708348,0.42066135336750266
418,-135000000.0,-0.233141700763832,0.4196550613748976
419,-142500000.0,-0.23258233312478785,0.41864819962461813
420,-150000000.0,-0.23202170724475538,0.4176390730405597
421,-157500000.0,-0.23145960350675343,0.4166272863121562
422,-165000000.0,-0.23089594828628354,0.4156127069153104
423,-172500000.0,-0.23033069718906782,0.41459525494032207
424,-180000000.0,-0.2297638112480935,0.4135748602465683
425,-187500000.0,-0.22919525203219393,0.4125514536579491
426,-195000000.0,-0.22862498062112604,0.4115249651180269
427,-202500000.0,-0.22805295737479256,0.4104953232746266
428,-210000000.0,-0.22747914186597934,0.4094624553587628
429,-217500000.0,-0.22690349284648056,0.408426287123665
430,-225000000.0,-0.2263259682196062,0.4073867427952912
431,-232500000.0,-0.22573778956970098,0.40632802122546174
432,-240000000.0,-0.22516319814386454,0.4052937566589562
433,-247500000.0,-0.22457240873563458,0.40423033572414224
434,-255000000.0,-0.22398534138725934,0.40317361449706685
435,-262500000.0,-0.22339734017848445,0.402115212321272
436,-270000000.0,-0.22280742772494325,0.40105336990489787
437,-277500000.0,-0.22221536462069824,0.39998765631725686
438,-285000000.0,-0.22162106153676323,0.39891791076617383
439,-292500000.0,-0.22102445915786273,0.3978440264841529
440,-300000000.0,-0.2204255034706772,0.39676590624721897
441,-307500000.0,-0.21982414062035455,0.3956834531166382
442,-315000000.0,-0.2192115016817263,0.39458070302710735
443,-322500000.0,-0.2186120405551271,0.3935016729992288
444,-330000000.0,-0.2179956376439371,0.39239214775908676
445,-337500000.0,-0.21738243497979448,0.39128838296363005
446,-345000000.0,-0.21676771828149977,0.3901818929066996
447,-352500000.0,-0.21615048511172336,0.38907087320110206
448,-360000000.0,-0.21553047927173194,0.3879548626891175
449,-367500000.0,-0.214907596212819,0.3868336731830742
450,-375000000.0,-0.21428176146877795,0.38570717064380033
451,-382500000.0,-0.21364399236969203,0.38455918626544566
452,-390000000.0,-0.2130190058735842,0.38343421057245153
453,-397500000.0,-0.21237629127717061,0.3822773242989071
454,-405000000.0,-0.21173624237221825,0.38112523626999284
455,-412500000.0,-0.2110940816925366,0.3799693470465659
456,-420000000.0,-0.2104487778597704,0.37880780014758675
457,-427500000.0,-0.20980005555980777,0.37764010000765397
458,-435000000.0,-0.20914779338298764,0.37646602808937774
459,-442500000.0,-0.20848281959455342,0.37526907527019615
460,-450000000.0,-0.20782120808857818,0.37407817455944076
461,-457500000.0,-0.20715721413858304,0.3728829854494495
462,-465000000.0,-0.20648961230875676,0.37168130215576217
463,-472500000.0,-0.2058180798853935,0.3704725437937083
464,-480000000.0,-0.2051424758061236,0.3692564564510225
465,-487500000.0,-0.20445357069162887,0.36801642724493194
466,-495000000.0,-0.2037674875014666,0.36678147750263984
